Parent	Rule	D1	D2	revisedXrule	revisedYrule	revisedZrule
ABaraaapap	0	ABaraaapapa	ABaraaapapp	0.888587386	-0.084348013	-0.299520281
ABaraaapp	0	ABaraaappa	ABaraaappp	0.875318789	-0.068263161	0.118546308
ABaraaappa	0	ABaraaappaa	ABaraaappap	0.588915801	-0.416326867	0.615174062
ABaraaappp	0	ABaraaapppa	ABaraaapppp	0.698044441	-0.251707495	0.456669109
ABaraap	0	ABaraapa	ABaraapp	0.849012527	0.3043281	-0.102454707
ABaraapa	0	ABaraapaa	ABaraapap	0.670873213	0.451821413	0.324427313
ABaraapaa	0	ABaraapaaa	ABaraapaap	0.860132597	-0.04087803	-0.214314795
ABaraapaaa	0	ABaraapaaaa	ABaraapaaap	0.652685176	-0.054352387	-0.662447285
ABaraapaap	0	ABaraapaapa	ABaraapaapp	0.865156578	0.094434827	-0.138949226
ABaraapap	0	ABaraapapa	ABaraapapp	0.873209433	-0.107102461	-0.13498729
ABaraapapa	0	ABaraapapaa	ABaraapapap	0.848822618	-0.114434668	-0.367306341
ABaraapapp	0	ABaraapappa	ABaraapappp	0.414583411	-0.744129863	-0.134017553
ABaraapp	0	ABaraappa	ABaraappp	0.904893012	0.23773954	0.060592334
ABaraappa	0	ABaraappaa	ABaraappap	0.87205077	0.163827361	-0.131929139
ABaraappaa	0	ABaraappaaa	ABaraappaap	0.76525448	-0.084232732	-0.507838203
ABaraappap	0	ABaraappapa	ABaraappapp	0.860213288	0.005293333	-0.187515685
ABaraappp	0	ABaraapppa	ABaraapppp	0.878664928	0.091081555	-0.281797723
ABaraapppa	0	ABaraapppaa	ABaraapppap	0.804520707	-0.070514175	-0.426229948
ABaraapppp	0	ABaraappppa	ABaraappppp	0.233028848	0.64824156	-0.526487637
ABarap	0	ABarapa	ABarapp	0.574151384	0.602654937	0.300855001
ABarapa	0	ABarapaa	ABarapap	0.878948478	0.081919287	-0.043169706
ABarapaa	0	ABarapaaa	ABarapaap	0.854211639	0.11259079	0.302359518
ABarapaaa	0	ABarapaaaa	ABarapaaap	0.853024438	0.057455345	0.194953527
ABarapaaaa	0	ABarapaaaaa	ABarapaaaap	0.796875842	-0.029007052	-0.489464575
ABarapaaap	0	ABarapaaapa	ABarapaaapp	0.941294321	-0.101994955	-0.026291607
ABarapaap	0	ABarapaapa	ABarapaapp	0.827178975	0.299417141	0.205760474
ABarapaapa	0	ABarapaapaa	ABarapaapap	0.412328456	-0.496761386	-0.59996277
ABarapaapp	0	ABarapaappa	ABarapaappp	0.639614674	-0.065643556	-0.717654777
ABarapap	0	ABarapapa	ABarapapp	0.754011807	0.384684323	0.182849068
ABarapapa	0	ABarapapaa	ABarapapap	0.853965762	0.337037695	0.069603375
ABarapapaa	0	ABarapapaaa	ABarapapaap	0.765108192	-0.06936038	0.313426531
ABarapapap	0	ABarapapapa	ABarapapapp	0.869923396	0.14513217	-0.249941153
ABarapapp	0	ABarapappa	ABarapappp	0.868300171	0.080151611	0.301574593
ABarapappa	0	ABarapappaa	ABarapappap	0.872167678	0.2013086	-0.096771878
ABarapappp	0	ABarapapppa	ABarapapppp	0.870632604	0.13712284	-0.206001981
ABarapp	0	ABarappa	ABarappp	0.700755007	0.567931624	0.059995665
ABarappa	0	ABarappaa	ABarappap	0.879310788	0.132796311	0.19595123
ABarappaa	0	ABarappaaa	ABarappaap	0.864867731	-0.069686484	-0.025290498
ABarappaaa	0	ABarappaaaa	ABarappaaap	0.825067919	-0.282444337	-0.316557955
ABarappaap	0	ABarappaapa	ABarappaapp	0.896286238	-0.020085767	-0.051281768
ABarappap	0	ABarappapa	ABarappapp	0.829866888	0.230130207	0.126912972
ABarappapa	0	ABarappapaa	ABarappapap	0.859845977	0.169398411	0.073920897
ABarappapp	0	ABarappappa	ABarappappp	0.897701342	-0.030310649	-0.229492149
ABarappp	0	ABarapppa	ABarapppp	0.790505577	0.194861865	0.352471802
ABarapppa	0	ABarapppaa	ABarapppap	0.829247296	-0.17000218	0.111485116
ABarapppaa	0	ABarapppaaa	ABarapppaap	0.856663059	-0.0889023	0.13059833
ABarapppap	0	ABarapppapa	ABarapppapp	0.89884905	0.118426402	0.03704907
ABarapppp	0	ABarappppa	ABarappppp	0.827331324	0.027289257	-0.340739015
ABarappppa	0	ABarappppaa	ABarappppap	0.901579131	-0.000715447	0.139253671
ABarappppp	0	ABarapppppa	ABarapppppp	0.848773598	0.027575106	-0.143493954
ABarp	0	ABarpa	ABarpp	0.843913983	0.212259454	-0.303044812
ABarpa	0	ABarpaa	ABarpap	0.63468379	0.330094379	0.560738779
